TxDate,Store_Name,Cust_Name,Item,TotPrice,Payment,CardNo
25/08/2021 10:09,Chesterfield,Linda Corella,"Regular Flavoured iced latte - Vanilla - 2.75, Regular Flavoured iced latte - Vanilla - 2.75",5.5,CARD,7507487909772622
25/08/2021 10:10,Chesterfield,James Bernat,"Large Flavoured iced latte - Caramel - 3.25, Regular Flat white - 2.15",5.4,CASH,n
25/08/2021 10:11,Chesterfield,Donald Wilson,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,9192463810678210
25/08/2021 10:12,Chesterfield,Harriet Keller,"Large Flavoured iced latte - Hazelnut - 3.25, Large Flavoured iced latte - Hazelnut - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured iced latte - Caramel - 3.25",12.5,CARD,2533969787271217
25/08/2021 10:13,Chesterfield,Jessica Heath,"Regular Latte - 2.15, Large Flavoured iced latte - Vanilla - 3.25",5.4,CASH,n
25/08/2021 10:14,Chesterfield,Brian Pagano,"Regular Flavoured iced latte - Hazelnut - 2.75, Large Latte - 2.45",5.2,CARD,4659802253815677
25/08/2021 10:15,Chesterfield,Brett Gambino,"Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85",5.3,CARD,7488697733607874
25/08/2021 10:16,Chesterfield,Jill Jackson,"Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured latte - Hazelnut - 2.85, Regular Flat white - 2.15",7.75,CASH,n
25/08/2021 10:17,Chesterfield,Kate Johnson,"Large Flavoured iced latte - Hazelnut - 3.25, Regular Flavoured iced latte - Vanilla - 2.75, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured latte - Hazelnut - 2.85",11.6,CASH,n
25/08/2021 10:18,Chesterfield,Ralph Reed,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Latte - 2.15, Large Flavoured latte - Hazelnut - 2.85",7.75,CARD,4816246893705392
25/08/2021 10:19,Chesterfield,Ruth Mitchell,"Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Vanilla - 3.25",6.5,CASH,n
25/08/2021 10:20,Chesterfield,Nathaniel Mannings,"Large Latte - 2.45, Large Flat white - 2.45, Regular Flavoured iced latte - Caramel - 2.75, Regular Flavoured latte - Hazelnut - 2.55",10.2,CASH,n
25/08/2021 10:21,Chesterfield,Paul Peters,Large Flavoured iced latte - Hazelnut - 3.25,3.25,CASH,n
25/08/2021 10:22,Chesterfield,Latanya Gallardo,"Large Flat white - 2.45, Large Flavoured latte - Hazelnut - 2.85, Large Latte - 2.45",7.75,CARD,1540181475032314
25/08/2021 10:23,Chesterfield,Larry Watkins,"Large Flavoured iced latte - Hazelnut - 3.25, Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured iced latte - Caramel - 2.75",14.15,CASH,n
25/08/2021 10:24,Chesterfield,Nancy James,"Regular Flavoured iced latte - Caramel - 2.75, Regular Flat white - 2.15",4.9,CARD,5022266229070435
25/08/2021 10:25,Chesterfield,Eileen Southwell,"Regular Flavoured iced latte - Caramel - 2.75, Regular Latte - 2.15, Regular Latte - 2.15, Large Latte - 2.45",9.5,CARD,4495822945393031
25/08/2021 10:26,Chesterfield,Tracy Pestana,"Large Flat white - 2.45, Regular Flavoured latte - Hazelnut - 2.55, Regular Latte - 2.15, Regular Flavoured iced latte - Vanilla - 2.75",9.9,CARD,9982950495281214
25/08/2021 10:27,Chesterfield,Annie Davis,Large Flavoured latte - Hazelnut - 2.85,2.85,CARD,6344521574846636
25/08/2021 10:27,Chesterfield,Donald Grant,"Large Flavoured iced latte - Hazelnut - 3.25, Large Flavoured iced latte - Caramel - 3.25",6.5,CARD,8758449462779114
25/08/2021 10:28,Chesterfield,Paul Dean,"Large Flavoured latte - Hazelnut - 2.85, Regular Latte - 2.15",5.0,CASH,n
25/08/2021 10:29,Chesterfield,Walter Taylor,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,3257568305255210
25/08/2021 10:30,Chesterfield,Leslie Kirk,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Vanilla - 3.25",5.8,CARD,1033079679767113
25/08/2021 10:31,Chesterfield,Kent Carriger,"Regular Flat white - 2.15, Regular Flavoured iced latte - Vanilla - 2.75, Large Flavoured iced latte - Hazelnut - 3.25",8.15,CASH,n
25/08/2021 10:32,Chesterfield,Marcelo Simmons,Regular Latte - 2.15,2.15,CARD,6182844058565928
25/08/2021 10:33,Chesterfield,Isaac Sun,"Large Latte - 2.45, Regular Flat white - 2.15, Regular Latte - 2.15, Large Flavoured iced latte - Hazelnut - 3.25",10.0,CASH,n
25/08/2021 10:34,Chesterfield,Bradley Thompson,"Regular Flat white - 2.15, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured iced latte - Vanilla - 3.25, Large Latte - 2.45",10.7,CARD,4989983143905316
25/08/2021 10:35,Chesterfield,Donald Gresham,"Regular Flat white - 2.15, Regular Flavoured latte - Hazelnut - 2.55, Regular Latte - 2.15",6.85,CARD,3165772397749111
25/08/2021 10:36,Chesterfield,Dawn Potter,"Regular Flavoured iced latte - Caramel - 2.75, Regular Flat white - 2.15, Regular Flavoured latte - Hazelnut - 2.55",7.45,CASH,n
25/08/2021 10:37,Chesterfield,Donna Metz,"Regular Flat white - 2.15, Regular Flavoured latte - Hazelnut - 2.55, Large Latte - 2.45",7.15,CARD,5119596440948241
25/08/2021 10:38,Chesterfield,Irma Forbes,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured iced latte - Caramel - 2.75",11.0,CARD,8300057156805618
25/08/2021 10:39,Chesterfield,Vicky Rayborn,"Regular Flavoured iced latte - Caramel - 2.75, Large Latte - 2.45, Regular Latte - 2.15, Large Latte - 2.45",9.8,CARD,1122959171116248
25/08/2021 10:40,Chesterfield,John Koenig,"Regular Flavoured iced latte - Vanilla - 2.75, Large Flat white - 2.45, Regular Flavoured iced latte - Hazelnut - 2.75",7.95,CARD,2870471496242245
25/08/2021 10:41,Chesterfield,Ruth Coleman,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Caramel - 3.25",9.05,CASH,n
25/08/2021 10:42,Chesterfield,Ralph Sippel,"Regular Flat white - 2.15, Large Flavoured iced latte - Hazelnut - 3.25",5.4,CARD,9440021026638592
25/08/2021 10:43,Chesterfield,Raymond Oliveras,"Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured iced latte - Vanilla - 2.75, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured latte - Hazelnut - 2.85",11.0,CARD,1711251413159276
25/08/2021 10:44,Chesterfield,Corey Culp,"Large Flavoured iced latte - Caramel - 3.25, Large Flat white - 2.45",5.7,CARD,1306371291788903
25/08/2021 10:45,Chesterfield,Henry Sedgwick,"Large Flavoured iced latte - Vanilla - 3.25, Large Latte - 2.45",5.7,CASH,n
25/08/2021 10:46,Chesterfield,Nathan Li,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured latte - Hazelnut - 2.85",8.35,CARD,3648254680030729
25/08/2021 10:47,Chesterfield,Glenda Kay,Large Flavoured latte - Hazelnut - 2.85,2.85,CARD,5627948457030299
25/08/2021 10:48,Chesterfield,Alberta Patterson,Large Flavoured iced latte - Vanilla - 3.25,3.25,CASH,n
25/08/2021 10:49,Chesterfield,Michael Morita,"Large Flavoured latte - Hazelnut - 2.85, Regular Latte - 2.15, Large Flavoured iced latte - Hazelnut - 3.25",8.25,CARD,7768893046965408
25/08/2021 10:50,Chesterfield,Christopher Garcia,"Large Flavoured iced latte - Hazelnut - 3.25, Regular Latte - 2.15, Regular Flat white - 2.15, Regular Flavoured iced latte - Caramel - 2.75, Large Flat white - 2.45, Large Flavoured iced latte - Hazelnut - 3.25",16.0,CARD,5607664110752102
25/08/2021 10:51,Chesterfield,Paula Grein,Large Flavoured iced latte - Caramel - 3.25,3.25,CARD,2047828799313251
25/08/2021 10:52,Chesterfield,Michael Brice,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Latte - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flat white - 2.45",10.1,CASH,n
25/08/2021 10:53,Chesterfield,Lillian Mclarney,"Large Flat white - 2.45, Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured latte - Hazelnut - 2.85",11.3,CARD,4384939029595501
25/08/2021 10:54,Chesterfield,Julius Meredith,"Large Flat white - 2.45, Large Flavoured iced latte - Hazelnut - 3.25",5.7,CARD,7052197684557619
25/08/2021 10:55,Chesterfield,Dana Wright,"Regular Flat white - 2.15, Regular Latte - 2.15, Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25",13.15,CARD,6083529347037922
25/08/2021 10:56,Chesterfield,Frankie Ivy,"Large Flavoured iced latte - Caramel - 3.25, Regular Latte - 2.15, Large Latte - 2.45, Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured latte - Hazelnut - 2.55",15.3,CASH,n
25/08/2021 10:56,Chesterfield,Clifford Vichidvongsa,"Large Flavoured iced latte - Hazelnut - 3.25, Regular Flat white - 2.15, Regular Latte - 2.15",7.55,CARD,6708760881396604
25/08/2021 10:57,Chesterfield,Justin Adkins,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured iced latte - Hazelnut - 3.25, Regular Flat white - 2.15",16.3,CARD,5468199414269508
25/08/2021 10:58,Chesterfield,Melanie Acker,"Large Latte - 2.45, Large Flavoured iced latte - Caramel - 3.25",5.7,CASH,n
25/08/2021 10:59,Chesterfield,Gregory Cumiskey,"Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Large Flavoured iced latte - Hazelnut - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75",10.9,CASH,n
25/08/2021 11:00,Chesterfield,Thomas Moore,"Large Flavoured iced latte - Caramel - 3.25, Large Flat white - 2.45, Large Latte - 2.45",8.15,CARD,6183486734228071
25/08/2021 11:03,Chesterfield,Patricia Salas,Large Flat white - 2.45,2.45,CARD,3588949975835307
25/08/2021 11:06,Chesterfield,Heather Peterson,"Regular Latte - 2.15, Regular Flat white - 2.15, Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured iced latte - Vanilla - 2.75, Large Flat white - 2.45",12.05,CASH,n
25/08/2021 11:08,Chesterfield,Angela Johnson,Large Latte - 2.45,2.45,CARD,4034572784059311
25/08/2021 11:11,Chesterfield,Leana Zerhusen,"Large Latte - 2.45, Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75",8.45,CASH,n
25/08/2021 11:13,Chesterfield,Patti Cyr,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Regular Latte - 2.15, Large Flat white - 2.45, Large Flavoured iced latte - Caramel - 3.25",16.1,CARD,5721093912380090
25/08/2021 11:16,Chesterfield,James Clyatt,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured iced latte - Caramel - 2.75",8.55,CARD,5851067915633697
25/08/2021 11:19,Chesterfield,Jeffery Long,"Regular Flavoured latte - Hazelnut - 2.55, Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured latte - Hazelnut - 2.85",8.15,CASH,n
25/08/2021 11:21,Chesterfield,Robert Nichols,"Regular Flavoured iced latte - Vanilla - 2.75, Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85, Large Latte - 2.45",10.5,CASH,n
25/08/2021 11:24,Chesterfield,Dewey Crandall,"Large Flavoured latte - Hazelnut - 2.85, Regular Flavoured iced latte - Caramel - 2.75, Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85, Regular Flat white - 2.15",13.05,CARD,3357200862087042
25/08/2021 11:26,Chesterfield,Debra Roth,"Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured latte - Hazelnut - 2.55",5.3,CASH,n
25/08/2021 11:29,Chesterfield,Robyn Mcfadden,Large Latte - 2.45,2.45,CARD,3005386842191216
25/08/2021 11:32,Chesterfield,Lawrence Davis,"Large Flat white - 2.45, Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured iced latte - Vanilla - 2.75, Large Latte - 2.45, Large Latte - 2.45",13.35,CASH,n
25/08/2021 11:34,Chesterfield,Pamela Perez,Regular Flavoured iced latte - Caramel - 2.75,2.75,CARD,5845350383200391
25/08/2021 11:37,Chesterfield,Barry Frase,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured latte - Hazelnut - 2.55, Large Latte - 2.45",8.25,CASH,n
25/08/2021 11:39,Chesterfield,Rhonda Smith,"Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Caramel - 3.25, Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85",14.35,CARD,9209841840969692
25/08/2021 11:42,Chesterfield,Ryan Ramirez,Large Latte - 2.45,2.45,CASH,n
25/08/2021 11:45,Chesterfield,Isabel Greene,Large Flavoured iced latte - Caramel - 3.25,3.25,CARD,6859215193020987
25/08/2021 11:47,Chesterfield,Dennis Duque,Regular Flavoured iced latte - Caramel - 2.75,2.75,CASH,n
25/08/2021 11:50,Chesterfield,Pauline Baker,Regular Latte - 2.15,2.15,CARD,9071322703654704
25/08/2021 11:52,Chesterfield,Corey Alcantara,"Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85",5.3,CARD,1300247141634284
25/08/2021 11:55,Chesterfield,Travis Boykins,"Large Flat white - 2.45, Large Latte - 2.45, Large Flavoured latte - Hazelnut - 2.85, Large Flavoured iced latte - Vanilla - 3.25, Large Flavoured iced latte - Vanilla - 3.25",14.25,CARD,4907467261068059
25/08/2021 11:58,Chesterfield,Hilda Jones,"Regular Flavoured iced latte - Vanilla - 2.75, Regular Flavoured iced latte - Vanilla - 2.75, Regular Flat white - 2.15, Regular Flat white - 2.15",9.8,CARD,5006059570831155
25/08/2021 12:00,Chesterfield,Michael Bonebright,"Large Flavoured iced latte - Vanilla - 3.25, Large Flavoured iced latte - Caramel - 3.25",6.5,CARD,6050739238014847
25/08/2021 12:05,Chesterfield,Wendy Ching,"Regular Flavoured iced latte - Hazelnut - 2.75, Large Flat white - 2.45, Regular Flavoured iced latte - Caramel - 2.75, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flavoured iced latte - Caramel - 2.75",13.45,CARD,2127480294133630
25/08/2021 12:09,Chesterfield,James Patton,Large Latte - 2.45,2.45,CARD,4090848197683036
25/08/2021 12:14,Chesterfield,Lula Woods,"Large Flavoured iced latte - Hazelnut - 3.25, Large Flavoured latte - Hazelnut - 2.85",6.1,CARD,4029814954291436
25/08/2021 12:19,Chesterfield,Sharon Edwards,"Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Caramel - 3.25, Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Caramel - 2.75, Regular Flavoured iced latte - Hazelnut - 2.75",14.75,CASH,n
25/08/2021 12:23,Chesterfield,John Mccullough,"Large Flavoured iced latte - Caramel - 3.25, Large Latte - 2.45, Regular Flavoured iced latte - Hazelnut - 2.75",8.45,CASH,n
25/08/2021 12:28,Chesterfield,Timothy Madison,"Large Flavoured iced latte - Hazelnut - 3.25, Regular Latte - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75, Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75",13.05,CARD,7415146098159274
25/08/2021 12:32,Chesterfield,Michael Jackson,"Large Latte - 2.45, Regular Flavoured iced latte - Hazelnut - 2.75",5.2,CARD,3094643504015977
25/08/2021 12:37,Chesterfield,Ralph Crocker,"Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Caramel - 3.25, Regular Latte - 2.15",7.95,CASH,n
25/08/2021 12:42,Chesterfield,Craig Magness,"Large Flat white - 2.45, Regular Flavoured latte - Hazelnut - 2.55, Large Latte - 2.45, Large Flavoured iced latte - Hazelnut - 3.25",10.7,CARD,4311192964521477
25/08/2021 12:46,Chesterfield,Sally Siple,"Large Flavoured iced latte - Caramel - 3.25, Regular Flat white - 2.15, Large Flavoured iced latte - Caramel - 3.25",8.65,CARD,4497560237088572
25/08/2021 12:51,Chesterfield,Juana Guerrero,"Regular Latte - 2.15, Large Flat white - 2.45, Large Flavoured iced latte - Vanilla - 3.25, Large Latte - 2.45, Regular Flavoured latte - Hazelnut - 2.55",12.85,CARD,3963464144816228
25/08/2021 12:55,Chesterfield,Leonel Malone,"Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured latte - Hazelnut - 2.55, Large Flavoured iced latte - Caramel - 3.25",9.05,CARD,7904415677199075
25/08/2021 13:00,Chesterfield,Gregory Archer,"Regular Latte - 2.15, Regular Flavoured iced latte - Vanilla - 2.75, Regular Latte - 2.15",7.05,CARD,8917885439575338
25/08/2021 13:02,Chesterfield,Florence Kolb,Regular Flavoured iced latte - Vanilla - 2.75,2.75,CARD,3714814045565927
25/08/2021 13:04,Chesterfield,Louise Cottrell,"Regular Flavoured iced latte - Caramel - 2.75, Regular Flat white - 2.15",4.9,CARD,8065696381332688
25/08/2021 13:06,Chesterfield,Norma Chase,"Large Latte - 2.45, Large Latte - 2.45, Regular Flat white - 2.15, Regular Flavoured iced latte - Hazelnut - 2.75",9.8,CARD,8220946465265346
25/08/2021 13:08,Chesterfield,Dorothy Fillers,"Large Flavoured latte - Hazelnut - 2.85, Large Latte - 2.45",5.3,CARD,8460724084967456
25/08/2021 13:10,Chesterfield,Ida Trujillo,Regular Flavoured iced latte - Vanilla - 2.75,2.75,CARD,9376130723627108
25/08/2021 13:12,Chesterfield,Cody Martinez,"Large Latte - 2.45, Large Flavoured iced latte - Vanilla - 3.25, Regular Latte - 2.15",7.85,CASH,n
25/08/2021 13:15,Chesterfield,Alma Delung,Regular Flavoured iced latte - Caramel - 2.75,2.75,CASH,n
25/08/2021 13:17,Chesterfield,Eugene Langel,"Large Flavoured iced latte - Hazelnut - 3.25, Large Flavoured latte - Hazelnut - 2.85, Large Latte - 2.45",8.55,CARD,1347333456996293
25/08/2021 13:19,Chesterfield,Betty Rodriguez,"Large Latte - 2.45, Large Flat white - 2.45",4.9,CASH,n
25/08/2021 13:21,Chesterfield,Stanley Robinson,"Regular Flavoured iced latte - Vanilla - 2.75, Regular Flavoured iced latte - Caramel - 2.75, Large Flavoured iced latte - Hazelnut - 3.25, Large Flavoured latte - Hazelnut - 2.85",11.6,CASH,n
25/08/2021 13:23,Chesterfield,Arthur Young,"Large Flat white - 2.45, Regular Flavoured iced latte - Vanilla - 2.75",5.2,CARD,1379867388653945
25/08/2021 13:25,Chesterfield,Margaret Higgins,"Large Flavoured iced latte - Vanilla - 3.25, Regular Flat white - 2.15, Regular Flavoured iced latte - Caramel - 2.75, Regular Flat white - 2.15, Large Flavoured latte - Hazelnut - 2.85",13.15,CARD,5126480936626881
25/08/2021 13:27,Chesterfield,Richard Starch,"Regular Flavoured iced latte - Vanilla - 2.75, Large Latte - 2.45, Large Flavoured iced latte - Caramel - 3.25, Regular Flat white - 2.15, Large Flavoured iced latte - Vanilla - 3.25",13.85,CASH,n
25/08/2021 13:29,Chesterfield,Myra Mccarthy,"Regular Latte - 2.15, Regular Flat white - 2.15, Regular Flavoured iced latte - Vanilla - 2.75",7.05,CARD,9758386193852626
25/08/2021 13:31,Chesterfield,John Lopez,"Regular Flat white - 2.15, Large Flavoured iced latte - Vanilla - 3.25, Regular Flavoured latte - Hazelnut - 2.55",7.95,CASH,n
25/08/2021 13:33,Chesterfield,Barbara Kaiser,"Large Flat white - 2.45, Large Flavoured iced latte - Caramel - 3.25, Regular Flavoured iced latte - Hazelnut - 2.75",8.45,CARD,3681154553033927
